NAME,FOUNDED_AT
10SEC,7/8/2013
140 PROOF,1/11/2010
15FIVE,5/1/2011
1LIFE HEALTHCARE,1/1/2002
2.10E+07,1/1/2013
3DPRINTEROS,3/1/2013
3JAM,1/1/2005
3SCAN,1/1/2011
3VR,1/1/2002
42,1/1/2013
42FLOORS,1/1/2011
5TH FINGER,1/1/2008
6CONNECT,1/1/2009
6SENSE,1/1/2013
6SENSOR LABS,10/1/2013
6SENSORLABS,1/1/2013
8TRACKS RADIO,8/8/2008
99DESIGNS,2/1/2008
ABOUT.ME,2/5/2013
ACADEMIA.EDU,9/1/2008
ACT BIOTECH,1/1/2008
ACUPERA,8/1/2011
ADDAPP,4/3/2014
ADDOWAY,4/1/2010
ADDVOCATE,5/1/2012
ADDY,5/1/2012
ADEZE,1/1/2005
ADINCH INC,6/5/2012
ADIOSO,1/1/2008
ADITIVE,1/1/2010
ADJUST,4/3/2012
ADRISE,11/1/2010
ADROLL,3/1/2007
ADSNATIVE,1/1/2013
ADSTAGE,5/1/2012
ADTONIK,1/1/2011
ADVICE WALLET,1/1/2012
ADVIOUSLY INC.,1/1/2013
ADYNXX,1/1/2007
AFAR,1/1/2007
AGILEMD,5/1/2011
AGNITUS,10/1/2011
AIR,1/1/2013
AIR,3/1/2012
AIRBNB,8/1/2008
AIRPHRAME,6/17/2012
AIRSTONE,1/1/2013
AIRWARE,5/1/2011
AKTANA,1/1/2008
ALGOLIA,9/17/2012
ALLBOUND,7/4/2014
ALLTRAILS,1/1/2010
ALPHABET ENERGY,1/1/2009
ALPHACLONE,3/1/2008
ALPINE DATA LABS,1/1/2011
ALT12 APPS,9/1/2009
ALTSCHOOL,1/1/2013
AMERICAN GIANT,1/1/2011
AMPHIVENA THERAPEUTICS,1/1/2012
AMPLIFY HEALTH,1/1/2011
ANAPLAN,1/1/2006
ANCHOR»,4/1/2011
ANGELLIST,1/1/2010
ANGELMD,3/1/2013
ANKI,1/5/2010
ANYPERK,1/1/2012
APARTMENT LIST,9/1/2011
APIARY,4/27/2011
APOZY,4/1/2012
APP ANNIE,1/1/2010
APP.IO,4/22/2012
APP.NET,8/1/2012
APPBISTRO,2/17/2010
APPDIRECT,7/17/2009
APPDYNAMICS,1/1/2008
APPGYVER,3/1/2011
APPIPHANY,7/1/2012
APPIRIO,9/9/2006
APPLEPIE CAPITAL,1/1/2013
APPLOVIN,3/1/2012
APPMESH,4/1/2012
APPORTABLE,1/1/2011
APPREDEEM,9/1/2010
APPTHEGAME - SWOOPT DAILY FANTASY SPORTS,1/1/2011
APPTHORITY,6/1/2011
APSALAR,5/1/2010
APTIBLE,4/1/2013
ARAVO SOLUTIONS,2/1/2000
ARCHIVELY,4/22/2012
ARDICA TECHNOLOGIES,1/1/2004
ARIA RETIREMENT SOLUTIONS,1/1/2011
ARIA SYSTEMS,1/1/2003
ARK,1/1/2011
ARTICULATE TECHNOLOGIES,1/1/2009
ARTIFY IT,1/1/2012
