class_code,zip,location_end_date,address,longitude,pbc_code,business_end_date,ownership_name,latitude,business_name,location_start_date
7,94117,,711 SCOTT ST,-122.436443065,7389,,15FIVE INC,37.776563214,15FIVE INC,05/11/2011
7,94103,,901 MISSION ST,-122.406860534,7389,,15FIVE INC,37.782397217,15FIVE INC,01/01/2013
,94103,,1087 MISSION ST,-122.410540902,,,3SCAN INC,37.779457636,3SCAN INC,04/01/2012
7,94107,,475 BRANNAN ST 430,-122.395670725,7389,,3VR SECURITY INC,37.778997986,3VR SECURITY INC,11/18/2006
7,94107,,1155 INDIANA ST,-122.390934847,7389,,6SENSORLABS INC,37.755673497,6SENSORLABS INC,04/01/2014
,94110,,2121 HARRISON ST,-122.412875439,,,6SENSORLABS INC,37.763414248,6SENSORLABS INC,10/01/2014
7,94103,,717 MARKET ST 650,-122.404004288,7389,,ACT BIOTECH INC,37.78718725,ACT BIOTECH INC,07/01/2008
7,94111,,731 SANSOME ST 301,-122.402003666,7389,,ACUPERA INC,37.797163708,ACUPERA INC,02/13/2012
7,94105,,150 MINNA ST,-122.40068776,7370,,ADDVOCATE INC.,37.78651432,ADDVOCATE INC.,07/01/2013
7,94109,11/05/2014,1244 SUTTER ST,-122.4209829,7389,,ADDY INC,37.787678124,ADDY INC,11/01/2012
,94105,03/19/2015,543 HOWARD ST,-122.396901362,,,ADDY INC,37.787826769,ADDY INC,09/16/2014
7,94105,03/05/2014,580 HOWARD ST 304,-122.397858908,7370,03/05/2014,ADITIVE INC,37.787143466,ADITIVE INC,05/11/2011
,94102,,25 TAYLOR ST,-122.410674341,,,ADJUST INC,37.782480963,ADJUST INC,01/27/2014
7,94105,,560 MISSION ST 1301,-122.399241869,7389,,ADRISE INC,37.788490277,ADRISE INC,12/13/2013
7,94105,,1 MARKET STEAURT TOWER 500,-122.39493096,7389,,ADSTAGE INC,37.794347532,ADSTAGE INC,07/09/2012
7,94111,,130 BATTERY ST 6TH FL,-122.399815483,7389,,BEYOND CAPITAL LLC,37.792658286,AFAR MEDIA,05/27/2013
,94102,,83 MCALLISTER ST #309,-122.413406647,,,BONIN KELLY,37.780933819,AIRBNB RENTAL,04/12/2015
